asset_co_raw,company_name_std,company_code_std
fp south texas,Formentera South Texas LP,810
fp balboa la,FP Balboa LA LLC,707
fp balboa ms,FP Balboa MS LLC,708
fp balboa nd,FP Balboa ND LLC,709
fp divide,FP Divide LLC,701
fp drake,FP Drake LLC,813
fp goldsmith,FP Goldsmith LP,807
fp kingfisher,FP Kingfisher LLC,704
fp lariat,FP Lariat LLC,811
fp maverick,FP Maverick LP,703
fp meramec,FP Meramec LLC,804
fp overlook,FP Overlook LLC,800
fp pronghorn,FP Pronghorn LLC,809
fp wheeler,FP Wheeler Upstream LLC,300
fp wheeler midstream,FP Wheeler Upstream LLC,300
fp wheeler upstream,FP Wheeler Upstream LLC,300
snyder drillco,Snyder Drill Co LP,500
westlake resources,Westlake Resources LLC,600